name,mz,rt,global_positive_Batch1_A1,global_positive_Batch1_A2,global_positive_Batch1_A3,global_positive_Batch1_A4,global_positive_Batch1_A5,global_positive_Batch1_F76,global_positive_Batch1_F77,global_positive_Batch1_F78,global_positive_Batch1_F79,global_positive_Batch1_F80
M164T116,164.0288684,115.7102203,185994.6792,180943.0168,171325.8113,161572.0361,199575.95,261415.1845,174519.6425,210401.4722,120235.3481,88358.67599
M164T640,164.0613577,639.770813,63946.81476,74158.12325,72063.9495,71895.10232,121882.2098,339355.661,261291.8867,263880.5468,270756.3893,572725.7287
M165T108,164.9293269,108.487587,453068.3514,914532.0845,402364.2963,1045995.56,930947.2107,156155.2127,1126968.453,1257842.887,349268.3438,1355308.948
M165T657,164.9835634,657.3545532,2101355.912,3143689.988,2649940.91,2453047.787,4740903.093,655682.7331,744590.2547,1559465.155,1237622.365,1046187.443
M165T772,164.9835932,771.8978577,8045974.652,7010731.395,12666059.76,5008155.705,7439770.619,613378.3652,980629.6648,1339165.96,1059234.693,880819.2478
M165T989,164.9839959,989.487,3362686.587,5735592.85,7658682.672,5380787.35,9280723.952,1806004.238,3740048.522,5614780.585,2306388.111,4812067.736
M165T553,164.9831818,552.8846436,3253602.371,5174199.951,2287187.784,3727948.984,1455555.662,3524443.276,2225526.448,4288047.722,3565172.041,5151216.636
M165T1177,164.9822619,1177.192993,2650649.989,NA,2166089.92,2397290.452,2697880.34,851078.6832,NA,NA,NA,NA
M165T278,165.0543037,278.2355042,837603.9797,909398.4905,1043846.568,NA,1206273.292,NA,1384179.097,NA,NA,NA
M165T493,165.1583458,492.5320129,238317.2348,386851.5077,467548.3497,353168.7352,362785.5629,343226.9818,382628.8866,286947.7948,353640.7728,239686.7585
M165T643,165.0567009,643.1602173,67004.76784,31127.99583,190271.0731,99276.30452,NA,NA,243437.9853,142715.057,NA,256723.4769
M165T98,165.0241171,97.8075,269906.2558,256990.2441,210749.7387,202585.9644,194341.5481,NA,NA,NA,69147.10307,NA
M166T494,165.5895152,493.8570404,108025.8488,164026.5731,188590.5652,120229.1846,164883.6892,228904.4008,183231.9072,132793.6945,NA,NA
M166T493,166.0858531,493.4251099,165282.337,241673.6207,500904.064,166364.443,228158.3197,386727.2992,330449.1797,545215.4431,848466.9974,646526.7814
M166T120,166.0255481,120.2671432,NA,NA,260346.6436,243160.7843,261338.9006,363737.8534,58797.02778,902240.2616,719997.8076,470422.5935
M167T494,166.5839304,494.297699,115567.3869,161080.4641,197221.4315,118939.3382,163044.2234,NA,199882.398,130674.4461,NA,NA
M167T110,166.9055737,110.3599865,132272.7852,110832.0006,115060.1888,116015.0535,120420.7993,66137.10373,101886.9683,114365.874,100775.384,89555.92978
M167T493_1,167.0206008,492.5320129,250972.1286,375351.7261,452552.483,356507.0339,353508.4843,471349.0246,379335.2929,279661.0295,327788.6842,180469.9869
M167T565_1,166.9844172,564.6408691,2254798.233,NA,NA,NA,2489751.707,1090569.934,557476.3506,638932.6161,659076.514,1377156.771
M167T935,166.9846473,935.184,2860424.138,NA,311521.2339,1270281.143,430070.5855,NA,25351.2167,76764.33679,108646.0926,73110.66675
M167T766,166.9834723,765.8769226,4070409.788,3663777.11,22722620.45,5262260.819,2928002.049,3446691.826,1365238.753,1299319.995,1299739.324,1226751.473
M167T672,166.9838831,671.687,1993685.957,2273385.836,3315496.65,16161586.17,27848.17408,NA,NA,NA,NA,NA
M167T493_2,167.0888395,493.2959595,230543.6877,268050.6764,240255.5713,184437.4603,258984.048,370675.7876,296180.4842,180389.2525,6535432.763,164462.9011
M167T112,167.0308421,112.4980621,105177.8453,NA,42500.16795,104700.6392,NA,332395.1597,317275.3049,1200860.118,46634.93185,26375.41372
M167T565_2,167.0336052,565.4954224,692828.8289,66946.69612,142844.2905,156926.9353,53633.13436,164299.404,2732219.714,648455.5192,162280.4815,107337.2141
M168T493,168.0912957,492.5320129,400907.4547,566638.5149,700802.5884,530073.1991,427216.5233,423615.2486,625073.0134,476318.5118,562693.3304,299893.3709
M169T142,168.7089014,141.6681213,NA,NA,NA,NA,NA,NA,196812.5003,173907.9136,188713.4295,86806.91677
M169T98,168.9952834,98.10375595,75248.42298,46213.00946,78106.69583,77298.17681,31022.70592,89686.85884,63105.22744,87315.15097,146739.2637,45101.69001
M169T201,169.0351144,201.315155,13647489.08,6615497.944,12199184.41,10455179.34,8977842.056,9071876.644,57301648.09,39014999.55,11271957.86,49429958.18
M169T640,169.1215442,640.228,1016970.605,NA,346550.7196,80502.0092,63035.27017,NA,11228406.24,125396.0421,NA,NA
M169T122,169.0577223,121.8437538,820183.31,464920.0891,836723.0528,1019267.182,617638.5007,201316.3438,1259240.993,1915312.018,1665738.322,175599.4324
M169T510,169.0968139,509.5810242,63546.86756,73692.61421,94583.9942,44100.59736,154399.8951,57453.41588,130877.8833,100796.1516,284337.2785,106159.202
M170T538,170.0594632,537.9331665,6013655.136,5203087.35,7201815.157,5909089.619,7471254.201,9541660.563,6294426.645,6284749.241,6900401.378,5418697.274
M170T604,170.0598673,604.1411133,73581.47279,62045.04657,87086.37962,NA,170427.4836,NA,786347.7266,129449.5566,NA,60028.60517
M170T115,170.0610372,115.4534531,148231.9848,130415.2232,87694.02379,72313.82391,74195.99182,168791.9801,662374.0499,138570.1958,241006.9509,283221.2311
M171T110,170.8536925,110.3534596,203915.0077,198505.3471,180335.0676,150421.8461,191833.8418,NA,NA,250202.6247,NA,208618.7921
M171T102,170.9571447,102.2035446,70397.83458,64007.61003,89594.33382,92307.14038,80015.51427,72678.11407,89690.21517,66687.88687,73595.2739,84049.15499
M171T614,171.0997539,613.5220642,290133.8323,225560.7564,261891.163,236080.6774,276739.5323,169497.5327,228219.7286,161070.4376,288094.9747,216718.1457
M171T538,171.063077,537.9619875,599543.0249,452933.2468,672733.8306,546269.91,676116.9628,894181.2296,624931.4492,613995.6479,666717.8926,523428.6112
M172T600,172.074964,599.588623,439280.2513,275015.1658,294402.3219,251677.5664,272066.3612,727827.8488,872189.9654,870614.2018,1364775.648,1074963.304
M172T120,172.1996347,120.1677628,103602.4377,NA,196356.1642,169414.4934,202591.1382,NA,NA,30551.11174,24772.38765,NA
M173T110,172.8506732,110.4249191,120940.255,123580.3696,105998.5733,90826.92939,113887.6482,NA,109100.7498,148847.0147,NA,NA
M173T21,173.0283015,20.56284332,1799188.515,1663298.986,1779106.506,1360817.882,2500477.216,1351104.478,1621100.52,1672184.609,1473072.883,1483844.688
M173T622,173.0784018,621.7376709,59879.58099,251409.7157,32016.46941,148988.2126,663123.631,63186.63845,360328.5946,242620.3076,103358.1708,19787.3569
M173T1106,173.028428,1106.258911,2167474.309,5129087.696,NA,2903042.338,2233227.271,NA,NA,NA,NA,3046667.164
M173T1166,173.0284131,1166.449163,2668989.269,3392446.359,2867528.67,2330734.404,3156634.999,NA,NA,NA,NA,NA
M173T79,173.0284351,79.45360184,1664429.026,468086.9766,579716.1964,2120449.543,1084510.914,814189.9768,739446.4094,3006821.937,935893.7707,651312.5845
M173T125,173.0916269,125.2535168,155622.0094,104220.962,188581.9659,56856.08546,430285.9614,NA,NA,NA,NA,279089.6968
M174T538,174.0910906,538.0016174,77118.72529,77070.23014,106715.3197,94595.88519,91651.92585,152221.3017,112809.0244,108356.2641,119187.5368,94791.90575
M174T24,174.0287552,24.48909378,NA,97037.59802,81273.39712,86034.0262,85425.52986,NA,NA,NA,NA,NA
M174T545,174.1850927,544.7299805,78598.19107,44041.103,51462.71147,NA,NA,90987.40395,87718.56588,102070.8607,96804.74255,98721.21819
M175T105,174.9436134,105.3993317,1739869.243,1922046.327,2140135.471,1920276.398,2306391.527,1493549.108,2077123.997,2389553.603,2137905.641,2046125.62
M175T708,175.1322699,707.920166,90900.86018,95872.2827,NA,84222.84466,75008.97387,62556.46094,NA,NA,307019.6468,NA
M175T120,175.1180451,119.7994804,102791.838,76219.37764,109252.0528,2078482.316,260860.734,1621195.62,62917.608,277723.4934,316356.1975,172329.7963
M175T632,175.0954837,632.4240112,884981.8352,786110.7093,NA,853604.2294,155715.2643,36162.25333,NA,NA,438016.9185,NA
M175T514,175.1227459,513.6868896,1243915.984,1238060.306,986882.4018,1136958.761,828109.0159,NA,NA,NA,NA,NA
M176T541,176.0738195,541.3640137,184927.1472,257845.1477,214519.094,NA,300586.648,29164.44028,571914.8191,694061.9802,1016247.52,486343.9506
M176T617,176.0703187,616.9810791,969746.9678,494961.3113,1230449.788,438303.7254,847148.2882,967909.4376,739358.8492,714707.6563,473291.695,591967.6541
M176T117,176.1216532,116.7335815,436886.8819,157947.0784,610581.219,435512.0866,451692.03,328688.1187,426447.5833,396484.4989,461835.648,250026.0271
M177T98,176.9703149,97.76758957,25499.50784,2172358.229,1976579.101,52618.10361,1830264.612,509658.9092,403869.5399,302574.8062,431476.1169,312119.3833
M177T111,177.060353,111.3275238,132750.9361,153566.3033,146507.0159,84662.06241,128353.1593,153533.5439,158632.4268,111929.92,123865.6973,210997.1076
M177T646,177.1114144,645.8375244,2176008.285,2329131.374,2482375.138,1960495.927,2406368.986,70887.39834,873949.1197,907324.1556,671925.6037,NA
M178T75,177.9920666,75.05194855,1319330.148,1988606.31,340535.7401,582487.543,737392.6936,NA,79447.38101,88841.62274,NA,NA
M178T115,178.0580761,114.6317062,408787.5723,363399.0862,505931.9041,409516.681,481037.0798,380941.605,597822.1567,436140.9814,523790.5924,457910.9903
M178T646,178.1873924,646.1942139,240025.0519,187468.2221,187772.5862,142270.6209,115350.9067,NA,NA,NA,NA,NA
M179T74,178.9635535,73.74697495,273237.7231,1508386.919,1454975.953,999341.2872,1312742.748,64424.24057,74893.90853,NA,NA,119213.2795
M179T10,178.9633202,9.649204254,101484.2156,116266.7114,NA,NA,NA,78431.61143,68452.05887,NA,158510.0865,93544.75025
M179T104,179.0646864,104.1838417,101539.7995,276221.3463,284759.1723,288182.3661,201110.3314,94423.0443,80645.22148,155164.2833,230760.508,75484.47928
M179T616,179.0697039,616.2656101,1925223.403,733082.7051,2042555.763,2038328.934,579549.6001,532549.8797,822487.8901,1456079.66,1312971.623,1409350.794
M180T113,180.0026778,113.2832298,127112.1092,44084.72471,65872.65146,36732.82671,58358.52089,NA,74637.95427,NA,164076.0633,107692.0739
M180T516,180.0877938,515.7521362,33785.88937,NA,NA,24867.48513,NA,63658.35819,43718.81962,78037.21439,98856.46526,95884.87746
M180T111,180.0736151,111.4690475,40910.90754,22069.74277,47903.63644,1058258.102,44583.59096,29091.53917,41440.70933,50836.58439,91672.31977,30151.95677
M180T571,180.0650783,570.7277222,3231135.877,2314532.73,4029403.821,97408.50406,5630060.014,493613.4486,1910654.297,1784909.954,2301537.681,2784464.423
M180T666,180.1735364,666.2389526,445618.7882,374463.3536,388869.2111,418316.4523,388480.2301,250421.087,271803.2017,248041.8135,383943.1316,296779.5864
M181T108,180.8935321,108.1882019,105584.8948,86119.62034,84375.39444,58763.47983,107918.525,53067.63631,74060.35171,113894.0719,91663.25822,60219.3346
M181T673,181.0489001,672.8927002,39966700.12,3109209.872,17191737.3,7039467.211,4545503.042,3408674.448,2958535.699,6598693.234,2660063.202,3210489.055
M181T109,180.9033364,108.7002869,484402.8312,478087.6281,640529.8101,508556.2872,509532.2835,306295.8372,512502.8799,670840.5159,672288.3141,560204.3558
M181T556,181.06868,556.3173828,457414.2056,314354.5509,355729.1806,1718186.604,478734.7028,40062.77637,128744.8757,41790.80693,193419.1771,375431.6036
M182T261,182.0804765,260.5449829,7768834.753,8044878.852,8552440.04,7352364.164,9548377.985,4352243.687,18522289.55,2705650.207,2939877.965,13314252.27
M182T674,182.0884171,674.0492554,3739894.086,304019.4998,1487141.333,626441.1872,421974.1466,314560.8175,272067.9576,667187.6569,281536.5537,830278.5508
M182T549,182.0751945,548.5445649,24269.07918,NA,58816.187,36361.91877,545862.0993,NA,NA,NA,NA,NA
M182T172,182.0805877,172.2183304,3044653.701,2592072.932,1781047.489,2216919.261,3933652.774,1351883.589,2331018.875,1912142.373,1689588.732,2093034.045
M182T592,182.1900755,591.8800659,195788.3194,203342.5139,185069.0582,172175.1689,206291.4294,185850.2953,243522.9836,259518.6292,454331.9099,276620.4307
M183T98,182.9620707,97.8075,180725.6461,180818.8123,149974.1502,135046.0086,151421.8815,105758.0942,70695.22036,78572.54999,94914.90233,59701.41995
M183T689,183.0797627,689.2189941,132710.1031,135581.1239,102122.349,118422.3968,115452.104,NA,NA,NA,165807.5327,NA
M183T110,183.1095898,110.0752335,140209.7633,37864.05479,NA,288025.7008,227146.6633,NA,NA,NA,63432.90848,183799.7305
M184T97,183.9629201,97.35698563,29290.21818,36906.76032,27998.71668,NA,34511.30178,NA,NA,NA,NA,NA
M184T736,184.0724114,735.8625183,805080.6242,3093143.212,1882347.34,805876.9953,1164049.236,518624.9309,1564932.889,1011495.427,1252673.711,1151562.602
M184T114,184.0936233,113.7600011,140760.6572,618232.202,791931.546,1184470.722,884852.8478,954866.1283,786900.2784,1022048.399,523572.0926,925167.5173
M185T101,184.9726023,101.1247406,98574.95324,52596.09944,87733.07061,36010.05493,60177.92327,NA,NA,76261.58309,NA,NA
M185T616,185.1152648,615.5036621,931666.1254,41682.07424,201974.3553,49305.48922,26720.28615,45516.80842,2054862.021,NA,NA,271449.7079
M185T533,185.1281474,532.8552856,603575.511,493289.7526,395531.2528,530160.2265,632107.6388,377907.9703,677907.0353,439093.8989,534251.6196,783242.8603
M185T115,185.0411965,114.8853111,509520.4646,729390.2819,969678.9164,686712.5237,528465.0117,544678.0329,1313955.974,1533565.431,1516358.727,1082738.376
M186T121,186.1054272,121.4184494,NA,24711.60538,75933.84996,115926.0355,42597.82548,NA,265967.5642,NA,NA,NA
M186T620,186.0579883,619.835083,55893.87943,168666.9064,158504.0549,52071.42231,152665.9349,NA,NA,NA,NA,NA
M186T531,186.131626,530.5537627,40961.88239,31367.54333,NA,35045.6373,41645.97786,NA,NA,NA,NA,NA
M186T594,186.2213801,593.8838806,146946.2599,149842.1456,147253.6189,142821.0584,138124.1263,87225.89719,113963.3593,125799.0162,140064.5044,109502.1751
M187T96,186.9922539,95.945755,544086.6321,82991.47104,74530.12143,581398.2928,62023.38788,365954.1019,361920.4551,392594.7612,341649.8977,344305.4417
M187T538_1,186.9530483,537.9331665,254528.3745,228807.7016,292560.2502,245269.3962,329425.3388,335923.9276,224304.8364,255402.6023,279786.6965,217631.7634
M187T640,187.0639402,640.4349365,391349.3378,371795.1415,391682.8892,408673.8124,392757.4704,339174.2304,221543.81,251255.545,399693.2704,317352.6385
M187T121,187.0706567,121.4865341,736439.5772,364544.021,748374.6713,592026.0253,84914.08191,904317.7035,2066998.19,1098868.191,844102.0647,903913.8892
M187T538_2,187.4723732,537.9619875,112913.2964,94354.47671,131811.7874,116272.4669,141507.6604,181664.0287,113055.4325,123344.1688,137696.1801,104523.2757
M188T538_1,188.015395,538.0046997,NA,72746.87636,31396.46492,42031.09762,67556.19633,40787.39907,NA,NA,NA,NA
M188T147_1,187.9598473,147.1031418,NA,NA,NA,NA,NA,NA,441475.0741,159390.571,201583.9997,129619.4851
M188T538_2,188.0707418,537.962,48354.28264,81328.53844,82587.82315,52504.08996,55087.26841,219802.7417,126901.7778,120554.4174,155764.3295,432228.2564
M188T115,188.1750585,114.8826675,58310.84753,37533.91727,39646.91684,65463.5068,39816.63094,49840.87992,55823.02088,NA,NA,NA
M188T147_2,188.4747125,147.1031418,NA,NA,60112.87819,61429.55489,NA,166659.363,555795.812,225027.3604,609335.5517,229138.455
M189T538_1,188.6706233,537.9619875,110650.6541,95421.25492,129589.3779,113486.3073,132356.9549,180995.1134,111860.5952,119593.986,138428.4366,104010.4405
M189T97,188.9917725,96.9297,105110.3564,114499.471,99222.76874,96470.69404,217793.7876,121943.9481,70179.179,51667.56901,62091.12215,52284.11039
M189T538_2,189.0733511,537.9619875,9056766.67,176396.3507,10480640.77,57988.10813,10690606.84,12476931.05,8649539.769,8601057.997,9560684.803,7287188.334
M189T632,189.0739121,632.4274902,278563.3391,163170.4558,221588.5439,171530.1891,216949.1016,NA,128670.7096,148067.3346,160971.45,244862.0528
M189T538_3,189.1972563,537.9619875,264320.6544,219308.0539,298593.9434,241576.5657,315293.8782,330972.2806,220544.8534,251881.9996,277731.2811,204215.473
M189T109,189.1589504,109.4865036,507707.9621,405197.6037,468152.2016,310252.7605,319549.3466,213540.828,321732.7073,364174.9643,371304.8643,312820.5467
M190T636,190.0852843,635.5954285,2100920.046,1174539.422,1504034.919,1002305.01,4015885.629,183636.9615,266204.16,166452.7251,225481.6876,550603.7666
M190T576,190.0753566,576.108,31498.99007,75637.16336,63379.37051,71834.60179,27007.7263,68428.71686,256500.1412,233037.5917,306129.9634,155344.0668
M190T115,190.1372599,115.368199,58784.07837,NA,113366.5498,61548.65486,122938.5259,53238.38746,88975.55158,84218.93401,117223.8892,63540.71004
M191T83,190.9635242,82.55194855,795766.6498,609357.0444,517099.8429,396564.7228,450550.5512,243909.9493,189230.6925,568974.3124,194043.2096,359672.7202
M191T182,190.9634613,181.9190979,1145687.061,1028935.304,1510774.735,583230.7347,1294218.761,NA,NA,NA,NA,NA
M191T636,191.0884977,635.977356,218751.4022,121201.477,146375.2365,101915.993,409945.5184,NA,7036338.366,2034996.447,NA,NA
M191T118,191.0396851,118.1544113,3299118.654,2633353.918,176561.6392,200452.1697,1688615.133,1982703.269,864258.3407,2282537.527,2252210.569,386940.464
M191T681,191.1637052,681.154,70304.42824,158514.814,56867.60794,81614.28138,79170.14625,NA,NA,NA,NA,NA
M192T85,191.9714591,85.37753296,1684194.469,2478791.359,880689.3889,1218091.001,1163393.914,NA,NA,NA,NA,NA
M192T474,192.0653281,474.2529907,196863.7536,139790.0194,177625.6376,131540.5809,175965.7928,NA,NA,NA,264626.6753,NA
M192T562,192.1046682,561.566925,NA,NA,NA,NA,NA,39487.45648,NA,80935.32141,422826.5922,67892.41521
M192T113,192.042956,113.4739373,137063.53,24694.48302,108642.013,111260.1988,32732.85124,NA,71563.40587,57566.60869,90013.57078,NA
M192T622,192.106767,622.3046875,48599.25557,44912.11743,35465.35972,NA,55785.66421,NA,167225.2941,143164.2635,NA,NA
M193T82,192.9792269,81.86582947,808675.1977,634963.7238,180279.5058,762910.3181,452359.6655,91738.56402,52131.62578,61764.08419,45628.25116,67521.83405
M193T1087,193.028675,1086.525085,109867.6378,120244.3097,NA,94510.76318,62974.17481,NA,260558.41,NA,NA,NA
M193T616,193.0854904,615.9979553,1516576.941,591892.2574,1635965.528,1596934.095,451024.8938,431185.4661,686707.6099,1209721.741,726900.8161,793459.0465
M193T115,193.130643,114.7504044,275490.8869,92423.85576,467840.3406,68529.01429,103124.7755,57099.76453,NA,72089.55373,NA,115554.5489
M194T122,194.0744104,122.0456461,106596.1104,87378.99167,102356.4621,108330.0577,105105.3194,174632.3511,160415.3406,149921.3949,163625.9625,159587.3038
M194T469,194.1172736,468.5078125,804514.963,654287.3331,655491.1793,620796.4662,1020120.733,596761.7299,815989.5215,971654.5887,777074.2056,665348.5686
M194T613,194.0890467,613.3286438,149256.8678,48806.6174,157488.1114,151600.0142,38750.71524,41501.41777,66826.4208,76852.67156,111402.8262,73371.18593
M195T584,195.0101762,584.1933594,332855.9399,100954.9947,83752.97952,44590.08681,34703.12338,NA,NA,148520.099,NA,NA
M195T644,195.085703,644.005249,502674.5735,458192.9523,387564.2641,401541.7431,372268.4519,583390.4376,1308861.624,1682154.608,1103750.941,1348998.775
M195T109,195.0983927,109.3416672,517467.0536,63744.49988,95166.95412,89658.64425,NA,502382.6325,222982.2278,469810.7901,NA,336296.8435
M195T548,195.1124434,548.4902954,273348.3163,134592.36,362423.9257,287076.1643,37691.24218,NA,299240.8292,302492.0917,260821.8601,459383.5686
M196T8,196.0023146,8.014045715,382937.8377,295974.0912,268580.8626,81616.9804,289113.0071,NA,NA,NA,NA,NA
M196T121,196.1802679,121.05,99789.73566,51322.30368,78869.44547,74323.29988,94077.36176,NA,NA,26093.26477,NA,89249.50631
M197T110,196.8644413,110.4265976,753421.1146,218037.4739,829567.0741,149377.903,557609.1698,659332.5201,725867.1788,598519.79,229985.4221,902501.0816
M197T111,197.1001367,111.3750687,693390.8674,443756.9661,1181936.368,536090.3991,722341.0677,572837.8264,712003.6132,973812.6116,1511589.928,595852.0468
M197T646,197.0800305,646.1262817,156367.8352,NA,104442.7622,65347.57903,68709.4936,NA,NA,NA,NA,NA
M197T571,197.1281872,571.303,282416.8042,175220.7696,404578.0686,275779.5633,638106.0765,127381.6851,468203.1367,647622.027,482729.2066,638450.2059
M198T117,198.0905132,116.6416359,350244.7047,46412.52516,512101.3918,343221.314,378548.0668,379117.3231,365090.8955,340073.8807,358203.0583,213052.9636
M198T552,198.1275003,551.7793794,553132.8646,NA,83589.41775,61926.5794,116757.1448,NA,NA,NA,NA,NA
M198T617,198.0521612,617.2918091,47025.01174,NA,66309.09853,NA,34127.8336,248119.6274,175534.982,164863.0001,NA,162270.3789
M198T668,198.1840652,667.928009,494290.81,436251.1448,407066.4674,369466.454,450572.532,237789.6909,307331.6602,260037.5313,395786.5762,401495.2611
M198T533,198.185074,533.344574,164220.9678,162397.3345,98009.65684,76429.94839,87183.23601,NA,NA,NA,NA,NA
M199T112,198.8614113,111.9201355,398740.6316,558495.299,774167.8443,1011827.923,585797.5539,902904.8123,NA,576617.3524,NA,855272.9892
M199T620,199.0385419,620.287,416455.4606,379792.0226,440698.3737,498088.8129,400555.5674,394509.6115,413179.3455,414590.7422,618867.3049,452275.1933
M199T106,198.9569796,105.9597015,5955338.385,5746172.837,5626263.44,5316630.647,5360396.791,3422710.356,2997999.654,3389389.399,3186185.729,2697824.518
M200T149,199.6864353,148.5116272,NA,NA,NA,NA,NA,164218.3975,487614.7651,211154.2247,200093.9529,203960.4467
M200T99,199.9423211,98.63812256,648038.4564,628129.8746,606726.7144,545267.3198,562046.2707,338684.0164,335939.5263,366062.6987,326880.5472,253751.2117
M200T113,200.0400336,112.7308197,989149.3097,759720.4062,890377.6461,836011.4174,221079.0419,679966.178,216634.834,355292.0254,164369.5177,867239.0377
M200T630,200.1025739,629.9532166,55174.3441,35144.80954,42694.71194,NA,NA,34528.82483,NA,48545.83479,41981.95992,73264.24651
M200T715,200.2000584,714.9562378,NA,363195.6685,NA,NA,NA,NA,140146.3388,126304.0294,135485.8092,119185.6182
M201T110,200.8587122,110.2759857,217539.3107,156625.5787,240471.8067,188239.811,163632.2568,174799.263,159197.9869,163146.2606,165007.6329,275449.2847
M201T97,200.9727748,96.90647125,64654.02003,32696.02307,62330.00275,54561.17411,858698.8625,385775.3625,364116.8181,408776.5754,366996.5238,309761.1825
M201T553,201.1383361,552.963,2007113.182,1360931.837,1465123.458,1295008.974,1324654.637,361609.8541,517321.5782,435627.8266,474936.5891,390119.8442
M202T116,201.7990053,115.6448364,256367.567,288173.1177,216060.2825,185649.3734,236558.9505,184320.84,268841.0364,125926.2501,111475.229,174651.6108
M202T99,201.9735716,98.93714523,216103.1015,222586.3296,177950.6316,161173.8806,198113.2391,159966.4885,92816.07428,88060.15468,126250.8359,72971.41302
M202T572,202.0473564,571.6298523,162027.2216,113984.0793,193173.9917,211266.6949,248971.1572,108478.7438,456841.3398,388069.7446,495438.6233,557367.4815
M202T605,202.2162517,604.931,356241.2224,385488.3417,376738.8603,362940.6022,369521.7603,246285.4631,278172.3281,392567.9006,438662.1611,278971.8199
M202T115,202.3813302,115.1174182,109525.9805,125189.1631,81709.49125,89608.54972,92923.48811,85815.1603,NA,NA,NA,NA
M203T108,202.8732391,108.487587,122502.9769,87239.37196,96213.69205,50632.73951,83676.33939,41080.41802,76314.19527,92203.85414,94813.29074,110351.8408
M203T546,202.999956,546.1781006,490644.655,769036.7402,NA,42628.60308,83067.39764,NA,133835.0973,172314.3664,192998.7405,77117.39281
M203T115,203.0517135,115.1094742,39683.19036,52841.48931,198165.2551,44143.88262,716409.0911,577661.0798,627212.1945,286163.99,138818.3806,53654.09733
M203T540,203.0813275,539.658207,69519.27123,57586.85763,90482.81168,74730.29993,108271.1533,152690.8888,80302.58788,92047.21226,117137.7049,81714.81733
M203T121,203.1496092,120.7524872,632664.3035,481659.7951,612447.2738,600237.8084,558364.089,1060667.42,1039618.308,1153890.961,1089609.44,1170257.933
M204T115,203.725592,114.59,110276.8024,122662.1187,94597.81869,79591.11171,97578.24009,NA,NA,NA,NA,NA
M204T538_1,203.8248925,537.9619875,255633.3771,226921.6477,325617.2234,246870.0214,322879.84,339820.6135,223971.2293,235609.1278,266568.4957,191591.0504
M204T126,204.1221514,125.9778404,12973973.78,1087554.501,1200397.765,1205414.564,1484610.47,2849333.82,4640679.444,2645276.991,2404187.584,3257403.443
M204T632,204.1042562,631.6110535,63675.79096,59694.3444,94755.3033,26170.48867,50776.58205,NA,166572.8683,335508.9646,489435.3079,62270.83
M204T119,204.2846366,119.1910957,236117.2229,262541.8434,38859.06582,123867.8354,147773.9846,71955.92712,63821.49893,82416.18445,93842.14194,92096.84187
M204T538_2,204.4159889,537.9619875,109976.667,105825.7949,135704.5788,102229.9399,145423.7017,141761.7309,113209.2857,109745.0231,120018.1666,81059.3683
M205T104,204.9331209,103.704903,659892.5281,630231.6925,635902.2191,606723.5661,553182.9612,716643.4323,637781.0272,671177.0979,651037.2831,587027.5414
M205T538,205.0858369,537.9937744,83917.34433,78685.94903,28195.61046,369969.1091,35569.23209,269223.5281,119053.8867,83271.99693,109996.8425,393951.4588
M205T715,205.085135,715.1607666,677907.2633,691940.8546,611248.1092,NA,NA,548846.0695,826684.5299,903297.2017,1115639.688,1036740.272
M205T122,205.1175517,121.6657671,987468.2993,180535.0067,925152.7486,1719328.419,1064951.636,573085.9339,892349.5068,1594467.441,1736148.277,890543.7379
M205T546,205.1696239,545.854364,580247.8484,359498.2391,701308.8612,322494.3509,88949.96235,NA,NA,NA,NA,NA
M206T538_1,205.7806116,537.9619875,109454.4501,102693.2786,127599.7047,111847.5396,135253.7359,177014.0016,112346.6669,111933.8754,122975.9624,91885.37863
M206T103,205.9568992,103.3405342,55288.11814,63941.38611,52138.72625,55714.08661,55210.87866,80052.86562,50974.13384,63409.7867,58740.53624,53882.78955
M206T538_2,206.0943176,537.9619751,37165.40974,379062.4817,563322.0627,436231.8624,412551.9166,363114.6932,7687730.32,433396.1224,8741574.237,374243.5063
M206T716,206.0884078,715.991,47454.41579,963637.8941,NA,607345.4108,24977.27129,60279.29257,NA,85973.80195,113491.5333,107570.287
M206T121,206.1225012,120.6423416,77984.35548,41630.03014,110790.7088,296966.0753,167226.8997,NA,34856.85497,129047.2525,139023.3108,NA
M206T604,206.0808894,604.3559875,883344.896,384577.515,1551467.304,394381.2501,878485.6169,485730.5093,433780.9252,651116.9792,1048852.47,338775.3274
M206T538_3,206.3801199,537.9619751,269075.9047,232618.0647,332427.6133,247214.2883,314439.7597,134202.9012,212914.9811,231741.2609,272403.7817,180081.9878
M207T110,206.8930203,109.9698753,4031105.834,3282087.813,3256747.814,3686145.15,2587027.999,2938215.552,2653028.717,2382551.978,2591216.362,2897369.111
M207T536,207.1017627,536.2247925,447914.4592,419698.6207,578585.6213,455336.6207,589154.3282,660346.3306,424722.221,434996.5055,481751.9139,345311.2887
M207T603,207.0606225,603.4649658,84487.71119,32382.89654,158940.1155,31554.63036,78082.08106,48015.01025,NA,264108.0805,70127.39889,220623.3811
M207T108,207.049828,108.2944395,242650.8329,163113.2197,226206.7728,157984.654,184837.9263,165037.6675,168044.1114,252250.0986,202927.6557,157594.7639
M207T643,207.1581136,643.1242371,69705.78524,76336.36787,82764.41865,90112.94337,83062.16069,NA,NA,NA,74880.61997,NA
M208T512,208.1329528,511.8458999,1368059.789,411051.612,154351.7695,1269147.357,214288.1737,634971.853,245849.0011,NA,204999,NA
