name,mz,rt,global_positive_Batch1_A1,global_positive_Batch1_A2,global_positive_Batch1_A3,global_positive_Batch1_A4,global_positive_Batch1_A5,global_positive_Batch1_F76,global_positive_Batch1_F77,global_positive_Batch1_F78,global_positive_Batch1_F79,global_positive_Batch1_F80
M90T127,90.05455552,127.1531372,2669795.44,2699853.349,3595866.608,2113415.818,3818195.192,3387406.126,2112634.408,1933373.444,2122702.548,1880977.083
M90T539,90.04615328,538.8366699,37566.57334,26635.37964,52989.71428,33235.02963,62113.25087,604762.9791,44201.95302,298779.0793,NA,659898.9124
M90T686,90.09097827,686.3425903,84930.30972,NA,97663.28071,90801.29868,89273.95495,50357.48719,NA,NA,NA,NA
M91T106,90.97609542,105.795549,11636318.89,11629612.48,14899846.38,15260604.91,14361463.48,9971245.503,12978778.68,12962901.5,12757727.27,12761960.98
M91T538,91.05385772,537.9728823,2414642.824,2202930.272,2832793.817,2353622.489,3020003.491,3924031.437,2599632.585,2631099.71,2786275.784,2380502.774
M91T493,91.0539352,493.2959595,1414200.208,2299886.312,2640918.293,1622442.043,2157092.779,3075246.047,NA,1713905.565,1743624.428,1273138.61
M91T99,91.02384379,98.91335297,144942.4226,124396.2402,99588.9909,111936.7181,116158.6766,NA,NA,NA,96110.78491,NA
M92T121_1,91.60984708,121.4865341,NA,NA,214906.7194,197612.3841,139742.3601,147481.3789,477141.4021,258912.4671,562863.3418,188014.6734
M92T121_2,91.94242391,121.4865341,43659.67963,NA,303971.2624,295341.2106,210577.8944,179103.7015,217817.585,52431.98534,360918.9616,262367.2383
M92T538,92.05736209,537.5606384,111548.8007,103867.1566,148537.6009,114823.9994,150693.2833,NA,124400.523,134007.9511,137304.4833,237526.8744
M93T82,93.01248683,82.14851379,526796.6016,704991.1051,999513.7081,692864.2948,334039.3755,345865.632,451053.5209,467241.4443,943388.4081,1096756.751
M93T15,93.01251006,15.36667153,603584.9741,343315.3449,515739.2558,467288.0876,404011.1031,448706.7288,627485.8271,326202.9987,920601.7111,711162.8775
M93T493,93.0696582,493.4251099,250530.1573,407023.8977,473006.6509,347068.8809,352582.3195,225207.2307,304190.1445,219034.7877,194262.1588,NA
M94T493,94.04101731,493.3561707,1609999.434,2366875.725,2666538.832,1658627.289,2188816.286,1427375.317,2556136.983,1762146.779,1531507.255,1482500.438
M95T493,95.04885476,493.4163818,675911.093,1083376.556,119469.5619,77352.91262,92826.11405,677677.5969,988732.5411,962408.6844,81862.35337,764376.5202
M96T145,95.54484376,145.3125458,NA,NA,154774.4782,165218.6578,110913.4906,NA,338781.8291,167220.3258,322008.1207,135732.6949
M97T120,96.92134117,119.5300179,574708.4111,515640.8019,5063379.833,1838866.867,617639.7491,1355899.582,2380507.232,2667578.302,1814020.423,2960865.819
M99T115,98.97516069,114.9864349,33259.9287,1766955.356,68128.53798,35361.48601,68882.99154,97405.32364,178983.3875,242329.8497,181297.7233,1538711.817
M100T521,100.0753707,521.1980591,NA,1493848.696,61950.19445,1335700.208,NA,7702076.364,3443724.289,1767968.173,10807640.58,5757292.003
M101T99,101.0078877,98.63812256,99137.58456,18272194.67,18699835.16,18078195.14,15400952.91,12543780.79,16543099.69,15528664.52,13552561.31,15119239.11
M101T792,101.0955393,792.1044922,3142953.81,2550442.887,2653840.417,4267491.15,11051679.39,NA,4555448.445,10892994.12,2775836.046,2416372.332
M102T98,102.0101844,97.74095917,2079201.237,2110434.913,2253856.011,2043527.495,1905905.929,162482.8279,1960378.017,213931.7109,1983791.316,1796229.19
M102T493,102.0461613,492.5320129,1202468.269,1772859.254,2086981.259,1289139.965,1681166.851,2484695.354,2092076.492,1429412.824,1311532.825,1092824.292
M102T117,102.0909314,117.297924,226482.4327,293581.6902,219909.8871,287068.3957,245546.6211,132536.3626,238715.4347,171376.0724,158695.6764,148851.9141
M103T97,102.5163038,96.93906403,73339.98841,83145.693,88225.94453,80214.27436,93162.88271,76668.27173,66291.75949,81725.15775,91396.38757,78472.90401
M103T98_1,102.727583,98.22281128,NA,33887.14555,31674.75391,34387.85675,32207.82257,NA,NA,NA,NA,NA
M103T98_2,102.9729233,97.74095917,236019.0325,80728.61852,224559.6855,292897.4289,83376.97574,276823.9879,310689.1286,190688.2761,291801.115,60105.753
M103T494,103.0547315,494.298,7685391.317,118897.6253,257552.0397,169418.7735,11865562.02,17608078.23,151261.6249,200938.1637,148709.4087,146144.5696
M103T115,103.0386635,115.4534531,250427.8562,253966.8146,172701.974,219430.5837,210707.2954,126836.766,198457.2077,166697.5612,167957.843,NA
M103T99,103.4265221,99.18858337,84573.50751,81428.56404,85793.95259,72006.98127,91966.48431,31706.5761,79656.24029,66585.67895,60119.69829,71610.51779
M104T97,103.9732771,96.9506784,207290.6063,226969.6796,225660.7917,220053.1768,245925.3978,260782.2699,231812.1034,151158.8598,229451.4752,183141.0609
M104T493,104.0572992,492.5320129,663077.3877,56469.94017,1215776.51,742622.0881,1007838.998,1058808.77,94692.76291,867118.6829,869210.5008,43374.02356
M104T559,104.0492991,559.0098267,55828.23488,43479.89417,NA,49525.31823,37676.5721,NA,100189.0419,163006.7822,NA,63674.4479
M104T742,104.1065229,741.8873901,417177.1924,437159.7516,372145.08,398444.3796,NA,NA,NA,NA,NA,NA
M104T116,104.1060436,116.0723267,107986.8449,114749.6354,98094.05043,90345.59533,117595.9287,141360.3842,689717.8686,70862.61694,52464.33771,39012.51534
