name,mz,rt,Blank_3,Blank_4,QC_1,QC_2,PS4P1,PS4P2,PS4P3,PS4P4
M70T579_POS,70.07305405972338,579.0954138183594,NA,NA,124805.18728655032,73633.8068867187,NA,NA,NA,NA
M71T415_POS,70.8152364258649,415.4028778076172,NA,NA,249446.83543359573,289469.32532807864,225809.6140337175,323694.87692343665,250766.35952524372,239383.16480664
M71T33_POS,70.95734478166517,32.82278251647949,5971783.9598039305,3192857.4064938505,NA,NA,NA,NA,NA,NA
M71T826_POS,70.98022050080279,825.5572426757813,10389793.846107423,12240150.230910644,8827641.512899537,5990898.468970611,10579654.297786212,9340465.563586375,10484559.604760038,9704642.126278387
M71T579_POS,71.0485407661868,579.09698486328125,179158.55255737284,NA,333642.2058424853,54023.98592468281,268123.3433585545,298612.1110446429,288859.17723372194,392843.58069140435
M71T499_POS,71.08536109397429,498.91552734375,NA,NA,104278.81724448489,68456.84347621338,NA,59974.07456889214,NA,NA
M72T34_POS,71.92866055297836,33.50881576538086,468329.27148841193,NA,NA,NA,NA,NA,NA,NA
M72T827_POS,71.9875150584568,826.5338134765625,2741815.4206545576,4483716.65993905,3017792.4378893534,NA,2150037.750056597,2095862.0178323726,2816838.7254253863,2759165.924857917
M72T832_POS,72.08053728836609,831.74774169921875,2241827.178193364,NA,NA,NA,NA,2291556.8533233004,NA,NA
M73T838_POS,72.93654563883277,837.9581298828125,NA,NA,NA,NA,2933247.66611708,6975451.195666174,9614491.332534019,5955688.319309302
M73T33_POS,72.93699001821844,32.82278251647949,13893666.531784583,13327445.628260942,NA,NA,NA,NA,NA,NA
M73T34_POS,73.0103164437243,33.77885055541992,NA,NA,188029.9956445312,NA,NA,196538.99801757798,NA,159113.36182291654
M73T32_POS,73.02816973177777,32.0382080078125,NA,NA,182214.9585728028,NA,230732.03422205534,NA,NA,261894.2742874397
M73T186_POS,73.0646257532967,185.68944299316405,NA,NA,2770735.379514344,1899665.0575961494,NA,NA,NA,NA
M73T200_POS,73.06457570214394,200.09167889404296,NA,NA,140119033.03188094,55896617.60706338,NA,NA,NA,NA
M73T126_POS,73.06454795738594,126.20748040771485,NA,NA,150907203.94996232,113512528.92364937,NA,NA,NA,NA
M74T33_POS,73.94426707364724,32.987863540649414,2345139.964535947,1672190.949945927,NA,NA,NA,NA,NA,NA
M74T53_POS,74.02305596240608,52.69135665893555,NA,NA,NA,NA,425613.9845875152,NA,633913.6758176844,641747.6146554251
M74T41_POS,74.06000008459354,40.95307540893555,NA,3305186.632208999,NA,NA,NA,NA,NA,NA
M74T200_POS,74.0679131580277,200.09167889404296,NA,NA,4731873.859849695,2423599.6924458463,NA,NA,NA,NA
M74T127_POS,74.0678872137315,126.52400341796874,NA,NA,6013045.223587232,4282630.030053835,NA,NA,NA,NA
M74T61_POS,74.09628408794902,60.78935623168945,17694791.343740284,NA,NA,NA,NA,NA,3339497.0722349766,NA
M74T870_POS,74.09628310943609,869.84197998046875,4160227.9473098586,NA,NA,NA,NA,NA,NA,NA
M74T858_POS,74.09625531300063,857.9254150390625,2200978.8827139917,NA,NA,NA,NA,NA,NA,NA
M74T884_POS,74.09628000100122,883.61627197265625,3330686.7774289516,NA,NA,NA,NA,NA,NA,NA
M74T897_POS,74.09630581638362,896.6326904296875,1541369.7133194222,NA,NA,NA,NA,NA,NA,NA
M74T991_POS,74.09628575545142,991.3189697265625,3044136.67492762,NA,NA,NA,NA,NA,NA,NA
M74T1007_POS,74.09629791456187,1006.725341796875,5069218.735656258,NA,NA,NA,NA,NA,NA,NA
M74T1023_POS,74.09629623229259,1022.5799731445312,2849703.1836523563,NA,NA,NA,NA,NA,NA,NA
M74T841_POS,74.09627904358732,840.863037109375,3313688.336799533,NA,NA,NA,NA,NA,NA,NA
M74T114_POS,74.09630192871082,114.4787826538086,11022419.58122672,NA,NA,NA,NA,NA,NA,NA
M74T146_POS,74.09636666989074,145.82797241210938,7315628.520468749,NA,NA,NA,NA,NA,NA,NA
M74T920_POS,74.09628707803078,920.2513427734375,4386776.55977646,NA,NA,NA,NA,NA,NA,NA
M76T33_POS,76.02127241365193,33.456722259521484,NA,NA,NA,NA,406150.51306352206,380334.3854795072,NA,440481.399157072
M76T31_POS,76.0754046583703,31.271066665649414,NA,NA,NA,NA,353730.4433438331,NA,488232.8862828946,398562.17101458384
M77T36_POS,77.03783866807149,35.75613975524902,NA,NA,1998337.3202882807,328939.71785345033,1813024.132359813,2287650.99590097,1945257.1879892831,2399858.8940825365
M77T294_POS,77.05947133068611,294.15750134277346,NA,NA,271530.77889843937,242297.96487658186,NA,NA,NA,NA
M77T579_POS,77.42507364186744,578.9377294921875,NA,NA,NA,92730.39183203143,NA,NA,NA,47988.296812501816
M79T35_POS,79.053942796643,35.365501403808594,NA,NA,2821550.167193138,1304875.3457224467,2471336.1466387506,3333582.748310827,2734243.817831983,3361452.277924609
M79T523_POS,79.07511167042422,522.8020239257812,9351152.965347232,6791879.5454999795,8105469.41781857,12376668.540002033,7997660.086942005,9731838.074090876,19451676.280376505,9792470.9392466
M79T556_POS,79.07510541833885,555.92718505859375,NA,10181583.33550229,9972566.159214344,17000811.64640619,9173652.110972473,9582092.49458331,8990644.226838278,9180065.597687531
M79T471_POS,79.0751141522934,471.3394470214844,NA,10860488.247105252,12512646.632668262,23834275.031111713,11025871.691435052,13081570.369757554,10462614.644537244,5765456.760109365
M79T579_POS,79.07510464789596,579.41119384765625,15851431.809078941,28653356.438213125,10940393.378349032,17313164.97721876,26867877.618312445,13183172.10715909,NA,9936537.298359374
M79T679_POS,79.07507149709332,678.62115478515625,NA,30624387.95485844,34310993.53689996,16829413.852558456,19431911.865171023,26548012.785504796,37672320.9815048,15014423.311499856
M79T610_POS,79.07508033792723,609.644775390625,NA,NA,19653603.727496393,16122345.410089176,14412021.58923204,13507909.547130026,50087737.77289281,44025709.72342778
M79T543_POS,79.0751113903232,542.78851318359375,NA,NA,6458169.65134092,16197896.558675027,5715528.574696813,5628790.276247217,7024407.171012886,9049437.340332467
M79T415_POS,79.07509945856074,415.2370910644531,NA,NA,9750172.662633926,15543468.14458139,17732482.277920913,9166906.137669107,8930086.567390632,7497765.789771183
M79T813_POS,79.075072215938,813.259,46604809.98181633,36996678.362910986,50827204.73712873,49360511.30158757,32804023.334923748,36565971.61335816,53032095.93530078,13706373.26534258
M79T498_POS,79.07510571771228,497.6590270996094,NA,14862945.873497628,8619232.830250029,24745210.89827464,NA,10196073.085753374,8692140.480799995,5315810.603245
M79T643_POS,79.07507486280488,643.0072687988281,NA,14514723.25887008,13419572.227728374,41878473.67181254,19820366.570620418,17997426.245166667,18774280.159823533,19449388.034548607
M79T596_POS,79.07510362702108,596.188,NA,9501305.857512517,11249031.551847778,16474732.835249895,11260107.588330023,15896501.430649208,NA,NA
M79T718_POS,79.07508123578698,718.3775634765625,NA,12789544.624589087,12350182.7268606,18536703.24961199,39110046.31028287,15836516.05248047,NA,13017245.144120803
M79T440_POS,79.0751285138837,440.11804870605465,NA,NA,5526574.310625021,8568797.703437522,NA,NA,NA,4278322.714308908
M79T738_POS,79.07509133800444,737.71148681640625,NA,NA,NA,11848520.014296897,NA,23439677.949985497,NA,11151255.097961893
M79T370_POS,79.07511204101415,369.9698181152344,NA,NA,7502602.829526739,12952384.596167257,NA,NA,NA,4564076.447664542
M79T278_POS,79.07510710709931,278.42633056640625,NA,NA,NA,3118169.218101549,NA,2635215.884030175,NA,2947989.910990711
M79T750_POS,79.07511260961307,749.976,NA,14629529.283294596,18633102.566217944,17615346.38566202,NA,NA,NA,NA
M79T357_POS,79.07511993808805,357.4531555175781,NA,NA,2772764.825186021,NA,NA,3604482.0466210917,NA,3423594.5199726485
M79T394_POS,79.07512771143408,394.0733947753906,NA,NA,5425520.394376887,8396666.25478424,NA,NA,4615623.014746676,NA
M79T693_POS,79.07517477255432,693.1732504882813,NA,17994990.456718817,NA,11233233.427806752,NA,NA,NA,NA
M79T768_POS,79.0751181887247,767.5015869140625,NA,18724038.16079633,NA,16533279.501253754,8303085.2475221325,NA,NA,NA
M79T335_POS,79.07512435025598,334.9966583251953,NA,NA,3766780.7985859285,6553031.128762507,NA,NA,2574675.33235677,3223979.5628839326
M79T791_POS,79.07508553310004,790.7404748535157,NA,NA,23993071.415799856,12227041.075921912,NA,NA,NA,NA
M79T295_POS,79.07511463574,294.63032543945315,NA,NA,4104737.423571427,5654161.0559375,NA,NA,NA,NA
M79T314_POS,79.07512077578103,314.2616650390625,NA,NA,NA,5111936.817252159,NA,NA,NA,4277637.672835228
M80T60_POS,79.51930747567654,59.5024,NA,NA,NA,29125.105513194478,NA,NA,NA,NA
M80T471_POS,79.69908541842017,470.99386132812504,NA,NA,147944.46853007883,133346.3967940191,NA,NA,NA,NA
M81T34_POS,80.94754475305069,33.677154541015625,NA,NA,1074711.2283998053,588792.8308467999,889797.6576246101,1650681.3663183593,789727.2782341798,753793.1400090136
M81T59_POS,81.01404471988724,58.5051,NA,NA,NA,19698.171785909595,NA,NA,NA,NA
M81T32_1_POS,81.03320164781596,31.800982107543945,NA,NA,NA,97240.20906250009,NA,188226.9818312988,NA,NA
M81T32_2_POS,81.06956477048152,31.87799835205078,NA,NA,3013129.9720643233,3392256.565895833,3845316.40325,4651678.881826168,5120736.849594793,4272934.056681666
M81T228_POS,81.06291396763454,228.22747802734375,NA,NA,95755.89224230233,NA,NA,NA,NA,NA
M81T829_POS,81.06966114908995,828.932861328125,NA,2340798.889484098,NA,NA,NA,NA,NA,NA
M82T200_POS,82.0380198348028,200.25021362304688,NA,NA,162179.60040820338,NA,NA,NA,NA,NA
M83T33_POS,82.9446165088885,33.228702545166016,NA,NA,211195.06652671908,145462.59326432852,NA,320702.15139204566,NA,NA
M83T61_POS,83.0213702261924,61.16992950439453,1351370.9726986717,NA,NA,NA,NA,NA,1023444.4387566579,NA
M83T31_POS,83.01242993296957,31.494977951049805,NA,NA,28190.205855468725,NA,NA,NA,NA,NA
M83T991_POS,83.02135485641624,990.97564697265625,3516329.7644748017,NA,NA,NA,NA,NA,NA,NA
M83T579_POS,83.08521262455372,579.0954284667969,604182.721910154,NA,966851.0186912391,510091.4540289691,795207.2220503388,NA,NA,NA
M83T32_POS,83.08520353298164,31.78578472137451,NA,NA,NA,NA,815188.2651191965,704004.8640655511,NA,NA
M83T294_POS,83.08523657500103,294.15750134277346,NA,NA,6684697.355722596,3633392.7887024754,NA,NA,NA,NA
M84T34_1_POS,84.04405102880679,33.86344909667969,NA,NA,1047971.4561641604,718505.0182096136,3419950.539739495,1218572.5628706517,1406540.2103364884,1792142.753186133
M84T34_2_POS,84.08017442498576,33.677154541015625,NA,NA,742954.2320655569,NA,NA,594057.2159843748,562579.93645699206,649895.2179129593
M84T293_POS,84.08863257298873,293.051,NA,NA,NA,86145.43711930288,NA,NA,NA,NA
M85T32_POS,85.0280627046579,32.251651763916016,NA,NA,1508875.907394634,1004659.6782798547,1533731.9525115967,1832369.7340571282,1837077.3197281258,NA
M85T33_POS,85.06444475143448,32.84870147705078,NA,NA,NA,NA,2053123.4965060533,NA,1700064.5533369798,2249331.1336082453
M85T619_POS,85.10085094987613,619.0272216796875,NA,NA,NA,NA,136323.40451220606,NA,165068.7082700897,NA
